307,Amulung,18,amulung
308,Aparri,18,aparri
309,Baggao,18,baggao
310,Ballesteros,18,ballesteros
311,Buguey,18,buguey
312,Calayan,18,calayan
313,Camalaniugan,18,camalaniugan
314,Claveria,18,claveria
315,Enrile,18,enrile
316,Gattaran,18,gattaran
317,Gonzaga,18,gonzaga
318,Iguig,18,iguig
319,Lal-lo,18,lal-lo
320,Lasam,18,lasam
321,Pamplona,18,pamplona
322,Peñablanca,18,penablanca
323,Piat,18,piat
324,Rizal,18,rizal
325,Sanchez-Mira,18,sanchez-mira
326,Santa Ana,18,santa-ana
327,Santa Praxedes,18,santa-praxedes
328,Santa Teresita,18,santa-teresita-2
329,Santo Niño,18,santo-nino
330,Solana,18,solana
331,Tuao,18,tuao
332,Basud,19,basud
333,Capalonga,19,capalonga
334,Daet,19,daet
335,Jose Panganiban,19,jose-panganiban
336,Labo,19,labo
337,Mercedes,19,mercedes
338,Paracale,19,paracale
339,San Lorenzo Ruiz,19,san-lorenzo-ruiz
340,San Vicente,19,san-vicente
341,Santa Elena,19,santa-elena
342,Talisay,19,talisay-2
343,Vinzons,19,vinzons
344,Iriga City,20,iriga-city
345,Naga City,20,naga-city
346,Baao,20,baao
347,Balatan,20,balatan
348,Bato,20,bato
349,Bombon,20,bombon
350,Buhi,20,buhi
351,Bula,20,bula
352,Cabusao,20,cabusao
353,Calabanga,20,calabanga
354,Camaligan,20,camaligan
355,Canaman,20,canaman
356,Caramoan,20,caramoan
357,Del Gallego,20,del-gallego
358,Gainza,20,gainza
359,Garchitorena,20,garchitorena
360,Goa,20,goa
361,Lagonoy,20,lagonoy
362,Libmanan,20,libmanan
363,Lupi,20,lupi
364,Magarao,20,magarao
365,Milaor,20,milaor
366,Minalabac,20,minalabac
367,Nabua,20,nabua
368,Ocampo,20,ocampo
369,Pamplona,20,pamplona-2
370,Pasacao,20,pasacao
371,Pili,20,pili
372,Presentacion,20,presentacion
373,Ragay,20,ragay
374,Sagñay,20,sagnay
375,San Fernando,20,san-fernando-2
376,San Jose,20,san-jose-3
377,Sipocot,20,sipocot
378,Siruma,20,siruma
379,Tigaon,20,tigaon
380,Tinambac,20,tinambac
381,Catarman,21,catarman
382,Guinsiliban,21,guinsiliban
383,Mahinog,21,mahinog
384,Mambajao,21,mambajao
385,Sagay,21,sagay
386,Roxas City,22,roxas-city
387,Cuartero,22,cuartero
388,Dao,22,dao
389,Dumalag,22,dumalag
390,Dumarao,22,dumarao
391,Ivisan,22,ivisan
392,Jamindan,22,jamindan
393,Ma-ayon,22,ma-ayon
394,Mambusao,22,mambusao
395,Panay,22,panay
396,Panitan,22,panitan
397,Pilar,22,pilar-4
398,Pontevedra,22,pontevedra
399,President Roxas,22,president-roxas
400,Sapi-an,22,sapi-an
401,Sigma,22,sigma
402,Tapaz,22,tapaz
403,Bagamanoc,23,bagamanoc
404,Baras,23,baras
405,Bato,23,bato-2
406,Caramoran,23,caramoran
407,Gigmoto,23,gigmoto
408,Pandan,23,pandan-2
409,Panganiban,23,panganiban
410,San Andres,23,san-andres
411,San Miguel,23,san-miguel-3
412,Viga,23,viga
413,Virac,23,virac
414,Cavite City,24,cavite-city
415,Dasmariñas City,24,dasmarinas-city
416,Tagaytay City,24,tagaytay-city
417,Trece Martires City,24,trece-martires-city
418,Alfonso,24,alfonso
419,Amadeo,24,amadeo
420,Bacoor,24,bacoor
421,Carmona,24,carmona
